Date of Exploit,Blockchain,Protocol Name,Amount Stolen (USD),Attack Type,Root Cause,Protocol Category,Exploit Method,No. of Transactions,Duration of Exploit,Funds Recovered,Reference Link
5/5/2023,"Arbitrum, BNB Chain, Ethereum",DEUS Finance,6500000,Logic Bug,A vulnerability in the DEI stablecoin redemption logic allowed minting of unbacked tokens.,Stablecoin,Single Transaction,Single,Under 5 minutes,No,https://rekt.news/deus-dao-r3kt
1/16/2023,Other,LendHub,6000000,Logic Bug,A mistakenly duplicated market token allowed attackers to withdraw excess funds.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 20 minutes,No,https://dappradar.com/blog/2023-begins-with-a-comeback-nfts-and-defi-show-recovery-signs
9/23/2023,Other,Mixin Network,200000000,Access Control,"Attackers breached Mixin’s cloud service provider database, enabling unauthorized fund withdrawals.",Infrastructure,Other,Multiple,Under 1 day,Partial,https://rekt.news/mixin-rekt
8/18/2023,Optimism,Exactly,7200000,Logic Bug,A flawed rate-calculation mechanism allowed attackers to inflate collateral and drain funds.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 15 minutes,No,https://rekt.news/exactly-protocol-rekt
8/8/2023,Avalanche,Steadefi,1157000,Access Control,A compromised deployer key allowed unauthorized modification of vault configurations.,Yield Aggregation,Single Transaction,Single,Under 10 minutes,No,https://rekt.news/steadefi-rekt
11/1/2023,Ethereum,Onyx Protocol,2100000,Oracle Manipulation,Attacker inflated the value of collateral assets to borrow more than allowed.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/onyx-protocol-rekt
4/28/2023,Polygon,0vix,2000000,Oracle Manipulation,A manipulated vGHST price allowed attackers to borrow heavily against inflated collateral.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://keomprotocol.medium.com/0vix-exploit-post-mortem-15c882dcf479
3/13/2023,Ethereum,Euler V1,197000000,Logic Bug,Incorrect donation logic in the soft-liquidation mechanism allowed the attacker to drain assets using leveraged liquidations.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 20 minutes,Yes,https://rekt.news/euler-rekt
4/15/2023,Optimism,Hundred Finance,7000000,Oracle Manipulation,A manipulated exchange rate for hTOKENS allowed attackers to borrow more than their collateral justified.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 15 minutes,No,https://rekt.news/hundred-rekt2
4/13/2023,Ethereum,Yearn Finance,11539000,Logic Bug,A misconfigured yVault (legacy vault) allowed minting yUSDT with drastically incorrect conversion rates.,Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/yearn-rekt
8/2/2023,Ethereum,Uwerx,327000,Logic Bug,"A business-logic flaw in the liquidity pool contract allowed attackers to manipulate internal accounting using improper transfer and skim interactions, enabling unauthorized fund extraction.",Decentralized Exchange (DEX),Multi-Transaction Sequence,Multiple,Under 20 minutes,No,https://blog.solidityscan.com/uwerx-hack-analysis-f03b061bb07b
6/27/2023,Arbitrum,Themis Protocol,370000,Access Control,A compromised deployer wallet enabled unauthorized upgrades and fund withdrawals.,Infrastructure,Single Transaction,Single,Under 5 minutes,No,https://blog.solidityscan.com/themis-protocol-hack-analysis-7241f6470b2e
4/2/2023,BNB Chain,Allbridge Core,650000,Oracle Manipulation,An attacker manipulated LP-based price feeds to mint unbacked bridge tokens and drain liquidity.,Cross-Chain Bridge,Flash-Loan Assisted,Multiple,Under 10 minutes,Partial,https://allbridge.medium.com/allbridge-core-updates-following-the-relaunch-9f7716eeb5da
7/21/2023,Ethereum,Conic Finance,3200000,Oracle Manipulation,A manipulated Curve LP oracle allowed attackers to drain funds from omnipools.,Yield Aggregation,Flash-Loan Assisted,Multiple,Under 15 minutes,No,https://rekt.news/conic-finance-rekt
1/17/2023,Polygon,Midas Capital,660000,Logic Bug,A faulty liquidation mechanism allowed attackers to borrow without correct solvency checks.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 15 minutes,No,https://rekt.news/midas-capital-rekt
6/12/2023,Ethereum,Sturdy V1,770000,Oracle Manipulation,Attackers manipulated yield-bearing asset prices to drain liquidity via over-borrowing.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/sturdy-rekt
2/16/2023,Avalanche,Platypus Finance,8500000,Logic Bug,A voting-escrow and solvency check flaw allowed attackers to drain pools using zero-collateral borrowing.,Decentralized Exchange (DEX),Multi-Transaction Sequence,Multiple,Under 10 minutes,Partial,https://rekt.news/platypus-finance-rekt
7/10/2023,"Ethereum, Optimism",Arcadia V1,460000,Reentrancy,A reentrancy flaw in the liquidation callback allowed attackers to drain vault balances.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://arcadiafinance.medium.com/post-mortem-72e9d24a79b0
5/28/2023,"Arbitrum, Ethereum",Jimbos Protocol,7500000,Oracle Manipulation,"The attacker manipulated the token price through thin liquidity, enabling over-borrowing against inflated collateral.",Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/jimbo-rekt
11/22/2023,"Ethereum, Polygon, Optimism, Arbitrum",KyberSwap Elastic,48000000,Oracle Manipulation,Liquidation parameters were exploited using manipulated pool pricing via flash loans.,Decentralized Exchange (DEX),Flash-Loan Assisted,Multiple,Under 30 minutes,Partial,https://rekt.news/kyberswap-rekt
9/19/2023,Ethereum,Balancer V2,238000,Logic Bug,A critical vulnerability in certain V2 “boosted pools” — due to incorrect pool logic — allowed attackers to drain funds.,Decentralized Exchange (DEX),Multi-Transaction Sequence,Multiple,Under 30 minutes,Partial,https://rekt.news/balancer-rekt
11/10/2023,Ethereum,Raft,3300000,Oracle Manipulation,Attacker exploited oracle desynchronization during liquid staking withdrawals.,Stablecoin,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/raft-rekt
7/24/2023,BNB Chain,Palmswap,900000,Flash-Loan Exploit,"A miscalculation in the PlpManager contract allowed incorrect USDP valuation during flash-loan execution, enabling pool drainage.",Derivatives,Flash-Loan Assisted,Multiple,Under 30 minutes,No,https://www.certik.com/resources/blog/palmswap-incident-analysis
8/1/2023,Base,LeetSwap,620000,Access Control,"A privileged function lacked proper access checks, allowing unauthorized control over trading pools.",Decentralized Exchange (DEX),Multi-Transaction Sequence,Multiple,Under 30 minutes,No,https://decrypt.co/150826/leetswap-dex-pauses-trading-base-due-potential-exploit
7/4/2023,Arbitrum,Rodeo,90000,Oracle Manipulation,"The attacker manipulated asset pricing through a weak TWAP oracle, enabling under-collateralized withdrawals via force-investment mechanics.",Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 30 minutes,No,https://www.quillaudits.com/blog/hack-analysis/rodeo-finance-hack
4/10/2023,"Ethereum, Arbitrum, Optimism, BNB Chain",SushiSwap,3300000,Logic Bug,A vulnerable route processor contract enabled unauthorized token transfers.,Decentralized Exchange (DEX),Single Transaction,Single,Under 5 minutes,Partial,https://rekt.news/sushi-yoink-rekt
3/7/2023,Arbitrum,Tender Finance,1600000,Oracle Manipulation,An incorrect oracle price for tGMX allowed the attacker to borrow against inflated collateral.,Lending and Borrowing,"Single Transaction, Multi-Transaction Sequence",Multiple,Under 30 minutes,Yes,https://blog.solidityscan.com/tender-finance-hack-analysis-improper-oracle-price-calculation-408f424d8548
8/13/2023,Ethereum,Zunami Protocol,2100000,Oracle Manipulation,Flash-loan amplified Curve pool imbalance enabled stealth withdrawal of stablecoins.,Yield Aggregation,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/zunami-protocol-rekt
11/18/2023,Ethereum,dYdX V3,9000000,Access Control,API key compromise enabled unauthorized margin position liquidation and withdrawal.,Derivatives,Multi-Transaction Sequence,Multiple,Under 1 day,Partial,https://rekt.news/dydx-rekt
2/1/2023,Polygon,BonqDAO,1700000,Oracle Manipulation,Attacker manipulated the ALBT price oracle to mint unbacked BONQ and drain liquidity.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 10 minutes,Partial,https://rekt.news/bonq-rekt
12/27/2023,Other,Levana Perps,1100000,Logic Bug,A vulnerable liquidation threshold allowed infinite leverage buildup.,Derivatives,Multi-Transaction Sequence,Multiple,Under 30 minutes,No,https://rekt.news/levana-rekt
1/21/2023,Other,Omm,1891000,Oracle Manipulation,Collateral pricing errors enabled attackers to borrow beyond safe limits.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 15 minutes,No,https://forum.omm.finance/t/omm-exploit-postmortem-january-2023/266
6/17/2023,BNB Chain,Midas Capital,600000,Arithmetic Error,A rounding-error in the redeem / interest-rate calculation allowed the attacker to exploit the redemption logic and withdraw more than rightful share.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/midas-rekt2
2/2/2023,"BNB Chain, Ethereum",Orion Pools,3000000,Reentrancy,"A reentrancy vulnerability in the exchange router’s swapThroughOrionPool / depositAsset logic — attacker used a malicious token + flash-loan to deposit, re-enter, and withdraw inflated balance.",Decentralized Exchange (DEX),Flash-Loan Assisted,Multiple,Under 10 minutes,Partial,https://rekt.news/orion-protocol-rekt
7/25/2023,Other,EraLend,3400000,Reentrancy,A reentrancy vulnerability in the wrapped ETH token allowed recursive borrow-withdraw loops.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://rekt.news/eralend-rekt
2/10/2023,"Arbitrum, Optimism",dForce,3650000,Reentrancy,A reentrancy vulnerability in a lending market contract allowed recursive withdrawals before balance updates.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 30 minutes,No,https://rekt.news/dforce-network-rekt
10/7/2023,Avalanche,Arena SocialFi,2900000,Reentrancy,A reentrancy vulnerability in the share trading smart contract allowed recursive withdrawals before balances were updated.,Other,Multi-Transaction Sequence,Multiple,Under 30 minutes,Yes,https://www.certik.com/resources/blog/stars-arena-incident-analysis
10/13/2023,Avalanche,Platypus Finance,2200000,Access Control,A compromised private key allowed unauthorized minting and draining of protocol funds.,Decentralized Exchange (DEX),Single Transaction,Single,Under 5 minutes,No,https://rekt.news/platypus-rekt2
5/1/2023,BNB Chain,Level Perps,1000000,Oracle Manipulation,"An attacker manipulated the price feed used for perpetual positions, enabling risk-free profit extraction.",Derivatives,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://rekt.news/level-finance-rekt
7/3/2023,Ethereum,AzukiDAO,68000,Signature Bug,The claim-function contract failed to properly enforce that a signature could be used only once; the attacker reused the same valid signature multiple times to repeatedly claim tokens.,Other,Multi-Transaction Sequence,Multiple,Under 1 hour,No,https://medium.com/@sharkteam/sharkteam-analysis-of-the-azukidao-attack-incident-30871b69ae54
12/31/2023,Ethereum,Orbit Bridge,81700000,Access Control,A suspected multisig or validator key compromise enabled unauthorized cross-chain withdrawals.,Cross-Chain Bridge,Cross-Chain Interaction,Multiple,Under 1 day,No,https://rekt.news/orbit-bridge-rekt
10/31/2023,Ethereum,Unibot,640000,Access Control,A router contract vulnerability allowed attackers to drain user-approved tokens via arbitrary transfer calls.,Infrastructure,Multi-Transaction Sequence,Multiple,Under 10 minutes,Partial,https://rekt.news/unibot-rekt
3/10/2023,Other,Hedera,515000,Logic Bug,A vulnerability in the Hedera Token Service precompile enabled attackers to mint unbacked liquidity pool tokens.,Infrastructure,Multi-Transaction Sequence,Multiple,Under 1 hour,Partial,https://rekt.news/hedera-rekt
8/7/2023,Solana,Cypher,1035000,Access Control,"A privileged authority key was abused, enabling unauthorized fund withdrawals from protocol-controlled accounts.",Infrastructure,Single Transaction,Single,Under 10 minutes,Partial,https://www.coindesk.com/business/2023/08/07/solana-based-cypher-protocol-experiences-exploit-freezes-smart-contract
7/30/2023,Ethereum,Curve DEX,61700000,Reentrancy,A reentrancy vulnerability in multiple Vyper-compiled contracts enabled repeated drainage of liquidity pools.,Decentralized Exchange (DEX),Multi-Transaction Sequence,Multiple,Under 1 day,Partial,https://rekt.news/curve-vyper-rekt
8/27/2023,Ethereum,Balancer V2,800000,Logic Bug,A vulnerability in certain V2 boosted pools enabled attackers to drain funds due to incorrect pool logic.,Decentralized Exchange (DEX),Multi-Transaction Sequence,Multiple,Under 30 minutes,Partial,https://rekt.news/balancer-rekt
8/19/2023,Other,Harbor Protocol,618000,Logic Bug,A vault accounting logic flaw enabled attackers to mint excess stablecoin shares and drain liquidity.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 30 minutes,No,https://www.web3isgoinggreat.com/?id=harbor-protocol-exploit
3/20/2024,Ethereum,Dolomite,1800000,Logic Bug,Incorrect liquidation accounting allowed attackers to extract excess collateral during margin close-outs.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 20 minutes,No,https://cointelegraph.com/news/old-dolomite-exchange-contract-suffers-1-8-million-loss-from-approval-exploit
9/10/2024,"Polygon, Ethereum, Optimism",Indodax,25200000,Access Control,A hot-wallet breach exposed private keys controlling multiple assets.,Infrastructure,Other,Multiple,Under 1 day,Partial,http://rekt.news/indodax-rekt
10/31/2024,"Ethereum, Solana",M2 Exchange,13700000,Access Control,Unauthorized access to withdrawal infrastructure enabled mass fund extraction.,Infrastructure,Other,Multiple,Under 1 day,Partial,https://rekt.news/m2-exchange-rekt
10/16/2024,"BNB Chain, Arbitrum",Radiant V2,53000000,Access Control,"Private keys of at least 3 out of 11 multi-sig signers were compromised via a malware-based social-engineering attack, allowing the attacker to approve and execute unauthorized transactions.",Lending and Borrowing,"Governance Attack, Multi-Transaction Sequence",Multiple,Under 1 hour,No,https://rekt.news/radiant-capital-rekt2
6/20/2024,BNB Chain,OKX NFT Aggregator,14000,Access Control,A lower-security SMS-based verification routine allowed attackers to whitelist malicious withdrawal addresses.,Infrastructure,Multi-Transaction Sequence,Multiple,Under 10 minutes,No,https://coinpri.com/news/scam-and-fraud-en/okx-accounts-hack-june-2024/
6/11/2024,Other,YOLO Games,1500000,Access Control,"The exitPool function lacked permission checks, allowing anyone to impersonate a liquidity provider and drain the pool.",Other,Multi-Transaction Sequence,Multiple,Under 20 minutes,Yes,https://www.halborn.com/blog/post/month-in-review-top-defi-hacks-of-june-2024
9/16/2024,"Ethereum, BNB Chain",WXETA,110000,Logic Bug,An uninitialized smart contract allowed attackers to seize control and drain token balances.,Infrastructure,Single Transaction,Single,Under 10 minutes,No,https://newsletter.blockthreat.io/p/blockthreat-week-38-2024
12/1/2024,"Optimism, Base, Polygon",Clipper,450000,Logic Bug,A vulnerability in the withdrawal function allowed attackers to drain liquidity pools without proper balance validation.,Decentralized Exchange (DEX),Multi-Transaction Sequence,Multiple,Under 30 minutes,No,https://www.beyondidentity.com/news-article/clipper-dex-hit-by-cyberattack-exploit-targets-withdrawal-functionality
4/30/2024,Arbitrum,Yield Protocol,181000,Access Control,Attackers exploited permission issues in the smart contracts of the defunct protocol to withdraw remaining locked funds.,Lending and Borrowing,Single Transaction,Single,Under 10 minutes,No,https://cryptorank.io/news/feed/bc707-hackers-drain-funds-from-defunct-defi-lending-protocol-yield-protocol.htm
12/1/2024,Ethereum,Spectral Labs,200000,Access Control,An infinite approval vulnerability in the AgentToken.sol bonding contract enabled attackers to drain bonding curve funds.,Infrastructure,Flash-Loan Assisted,Multiple,Under 30 minutes,No,https://medium.com/coinmonks/decoding-spectra-labs-bonding-contract-250k-exploit-b88d249c3218
1/30/2024,Ethereum,Abracadabra Spell,6500000,Logic Bug,Oracle desync between Curve LP and MIM vault enabled under-collateralized borrowing.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 15 minutes,No,https://rekt.news/abra-rekt
4/19/2024,"Arbitrum, Ethereum",Hedgey,44700000,Signature Bug,Improper vesting signature validation enabled repeated unauthorized unlocks.,Infrastructure,Multi-Transaction Sequence,Multiple,Under 20 minutes,No,https://rekt.news/hedgey-finance-rekt
11/11/2024,"Arbitrum, Avalanche",DeltaPrime,4800000,Oracle Manipulation,Illiquid asset pricing allowed attackers to inflate collateral for leveraged borrowing.,Derivatives,Flash-Loan Assisted,Multiple,Under 15 minutes,No,https://rekt.news/deltaprime-rekt
11/15/2024,Other,ThalaSwap,25500000,Logic Bug,A vulnerability in the newly upgraded v1 farming contracts allowed the attacker to withdraw excessive liquidity pool tokens.,Decentralized Exchange (DEX),Multi-Transaction Sequence,Multiple,Under 1 hour,Yes,https://www.halborn.com/blog/post/explained-the-thala-hack-november-2024
3/8/2024,Ethereum,Unizen,2100000,Access Control,A compromised deployer wallet allowed unauthorized contract ownership transfer.,Infrastructure,Single Transaction,Single,Under 5 minutes,No,https://rekt.news/unizen-rekt
6/2/2024,Other,Velocore V2,6800000,Reentrancy,A reentrancy flaw in the callback router enabled recursive swaps and balance inflation.,Decentralized Exchange (DEX),Multi-Transaction Sequence,Multiple,Under 10 minutes,Partial,https://rekt.news/velocore-rekt
5/15/2024,Optimism,Sonne Finance,20000000,Logic Bug,"A known vulnerability in forks of Compound V2 was not patched: new market parameters (c-factors) were scheduled via a timelock, but the attacker inserted themselves as first executor once timelock expired — enabling them to manipulate collateral valuations and drain lending pools.",Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 1 hour,No,https://rekt.news/sonne-finance-rekt
2/22/2024,Other,Tectonic,250000,Flash-Loan Exploit,A logic flaw in a newly deployed market allowed attackers to use flash loans to mint and drain assets without proper collateral validation.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 20 minutes,No,https://defillama.com/protocol/tectonic
1/2/2024,Arbitrum,Radiant V2,4500000,Logic Bug,"A freshly launched USDC market had empty reserves, allowing attackers to manipulate the liquidity index and borrow unbacked assets.",Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 15 minutes,No,https://rekt.news/radiant-capital-rekt
6/10/2024,Ethereum,UwU Lend,20000000,Oracle Manipulation,The attacker manipulated price oracles and solvency checks using flash loans to borrow against inflated collateral.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 30 minutes,Yes,https://slowmist.medium.com/analysis-of-the-uwu-lend-hack-9502b2c06dbe
11/16/2024,Fantom,Polter Finance,12000000,Oracle Manipulation,The protocol relied on spot pricing of BOO token pairs; the attacker manipulated BOO price to borrow against massively inflated collateral value.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 30 minutes,No,https://www.halborn.com/blog/post/explained-the-polter-finance-hack-november-2024
2/24/2024,Ethereum,BlueBerry,1400000,Oracle Manipulation,"The attacker manipulated on-chain token pricing through a thin-liquidity pool used as a price oracle, enabling over-borrowing and fund drainage.",Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 20 minutes,No,https://lunaray.medium.com/blueberry-protocol-hack-analysis-a61013682fef
3/28/2024,Ethereum,PrismaLST,11600000,Logic Bug,A vulnerability in the MigrateTroveZap contract allowed attackers to manipulate the migration process and siphon protocol funds.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 30 minutes,Partial,https://www.certik.com/resources/blog/prisma-finance-incident-analysis
9/19/2024,Ethereum,Banana Gun,3000000,Access Control,A vulnerability in the Telegram message handling allowed attackers to trigger unauthorized ETH transfers from active users.,Infrastructure,Multi-Transaction Sequence,Multiple,Under 30 minutes,Yes,https://rekt.news/bananagun-rekt
6/9/2024,Ethereum,Loopring,5000000,Access Control,Attackers compromised guardian-based 2FA accounts and transferred assets from affected wallets.,Infrastructure,Multi-Transaction Sequence,Multiple,Under 1 day,No,https://www.halborn.com/blog/post/explained-the-loopring-hack-june-2024
7/31/2024,Other,Terra 2.0,5000000,Reentrancy,A previously patched IBC-Hooks reentrancy vulnerability was accidentally reintroduced in a later upgrade and exploited.,Infrastructure,Cross-Chain Interaction,Multiple,Under 1 hour,No,https://www.coindesk.com/tech/2024/07/31/terra-blockchain-restarts-after-4m-exploit
3/22/2024,Other,Super Sushi Samurai,4800000,Flash-Loan Exploit,A flawed token price calculation combined with unrestricted minting logic allowed attackers to inflate token supply and drain liquidity using flash loans.,Decentralized Exchange (DEX),Flash-Loan Assisted,Multiple,Under 30 minutes,No,https://blockapex.medium.com/super-sushi-samurai-hack-analysis-02603aa37603
5/20/2024,Ethereum,Gala,22000000,Access Control,The attacker gained control of a privileged admin wallet and minted 5 billion GALA tokens.,Infrastructure,Single Transaction,Single,Under 10 minutes,Partial,https://rekt.news/gala-games-rekt
6/13/2024,Ethereum,Holograph,6700000,Access Control,An infinite mint vulnerability allowed the attacker (a former developer) to arbitrarily mint 1B HLG tokens and dump them.,Infrastructure,Multi-Transaction Sequence,Multiple,Under 1 hour,No,https://www.halborn.com/blog/post/explained-the-holograph-hack-june-2024
9/26/2024,Ethereum,Onyx V2,4000000,Arithmetic Error,A decimal-precision rounding bug inherited from Compound V2 allowed attackers to drain low-liquidity markets.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 30 minutes,No,https://www.halborn.com/blog/post/explained-the-onyx-protocol-hack-september-2024
8/6/2024,Ethereum,Ronin Bridge,12000000,Access Control,A faulty post-upgrade implementation allowed attackers to execute unauthorized withdrawals.,Cross-Chain Bridge,Cross-Chain Interaction,Multiple,Under 1 day,No,https://medium.com/@gr_gred/the-ronin-hack-explained-august-2024-5415495acc08
9/26/2024,Ethereum,uniBTC,1700000,Logic Bug,A flaw in the re-hypothecation and accounting logic of the uniBTC vault enabled asset over-minting and withdrawal.,Infrastructure,Multi-Transaction Sequence,Multiple,Under 30 minutes,Partial,https://blockapex.io/unibtc-hack-analysis/
12/29/2024,"Ethereum, BNB Chain, Base",Fegex,900000,Other,A flawed Wormhole bridge message verification allowed unauthorized withdrawals from the SmartBridge contract.,Cross-Chain Bridge,Cross-Chain Interaction,Multiple,Under 30 minutes,No,https://www.certik.com/resources/blog/feg-bridge-exploit-technical-analysis
8/1/2024,Ethereum,Convergence,210000,Logic Bug,The attacker exploited a contract breach to arbitrarily mint CVG tokens from the reward distributor and offload them.,Infrastructure,Multi-Transaction Sequence,Multiple,Under 20 minutes,No,https://www.coindesk.com/markets/2024/08/01/defi-protocol-convergence-hacked-cvg-token-plunges-99-on-curve
1/16/2024,Ethereum,Bungee,3300000,Access Control,A compromised API key allowed attackers to execute unauthorized token transfers from user routing contracts.,Cross-Chain Bridge,Multi-Transaction Sequence,Multiple,Under 30 minutes,No,https://rekt.news/socket-rekt
8/7/2024,Ethereum,Nexera,1800000,Access Control,"Malware on team systems led to private key compromise of staking contracts, enabling unauthorized token transfers.",Infrastructure,Single Transaction,Single,Under 10 minutes,Partial,https://www.halborn.com/blog/post/explained-the-nexera-hack-august-2024
1/4/2024,Arbitrum,Gamma,4500000,Logic Bug,"Vault deposit logic allowed extreme price swings (50–200% price-change threshold) on certain vaults. By manipulating the price via flash-loan/price-feed abuse, attacker minted inflated LP shares and withdrew disproportionate assets.",Yield Aggregation,"Flash-Loan Assisted, Multi-Transaction Sequence",Multiple,Under 30 minutes,No,https://rekt.news/gamma-strategies-rekt
3/5/2024,Arbitrum,WOOFi Swap,8500000,Oracle Manipulation,The attacker manipulated oracle pricing through thin-liquidity pools to extract excess assets.,Decentralized Exchange (DEX),Flash-Loan Assisted,Multiple,Under 15 minutes,No,https://rekt.news/woo-rekt
7/19/2024,Other,Rho Markets,7600000,Oracle Manipulation,A price oracle misconfiguration allowed the attacker to massively inflate collateral value and drain protocol liquidity.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 30 minutes,No,https://www.dlnews.com/articles/defi/scroll-defi-protocol-rho-markets-paused-after-exploit/
12/10/2024,Base,Clober Liquidity Vault,500000,Reentrancy,A reentrancy vulnerability in the _burn() function of the Rebalancer contract enabled repeated withdrawals.,Decentralized Exchange (DEX),Multi-Transaction Sequence,Multiple,Under 20 minutes,No,https://www.certik.com/resources/blog/clober-dex-incident-analysis
9/3/2024,Ethereum,Penpie,27000000,Reentrancy,A reentrancy flaw in vault reward distribution logic allowed recursive withdrawals of deposited assets.,Yield Aggregation,Multi-Transaction Sequence,Multiple,Under 30 minutes,No,https://www.halborn.com/blog/post/explained-the-penpie-hack-september-2024
7/15/2024,Other,Minterest,1400000,Flash-Loan Exploit,A reentrancy vulnerability combined with a flash-loan allowed attackers to bypass collateral accounting.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 10 minutes,No,https://www.halborn.com/blog/post/explained-the-minterest-hack-july-2024
12/17/2024,"Ethereum, Base, BNB Chain",GemPad,2000000,Reentrancy,A reentrancy vulnerability in the project’s locking smart contracts enabled repeated asset withdrawals.,Infrastructure,Multi-Transaction Sequence,Multiple,Under 30 minutes,No,https://www.halborn.com/blog/post/explained-the-gempad-hack-december-2024
1/12/2024,Ethereum,Wise Lending V1,464000,Oracle Manipulation,A reentrancy vulnerability in the project’s locking smart contracts enabled repeated asset withdrawals.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 15 minutes,No,https://blog.solidityscan.com/wise-lending-hack-analysis-f652f389e397
4/23/2024,"Ethereum, Polygon, BNB Chain, Avalanche, Arbitrum, Optimism, Base",Magpie Protocol,129000,Logic Bug,A vulnerability in the MagpieRouterV2 contract allowed unauthorized token transfers from connected wallets.,Infrastructure,Multi-Transaction Sequence,Multiple,Under 30 minutes,No,https://medium.com/@Flytrade/magpie-protocol-smart-contract-vulnerability-post-mortem-f6400db0a25e
4/30/2024,"Ethereum, Optimism, Arbitrum",Pike,1600000,Logic Bug,A liquidation accounting bug allowed attackers to withdraw more collateral than permitted.,Lending and Borrowing,Multi-Transaction Sequence,Multiple,Under 20 minutes,No,https://rekt.news/pike-rekt
3/26/2024,Other,Munchables,62500000,Access Control,A malicious insider with privileged access directly transferred protocol treasury funds.,Infrastructure,Single Transaction,Single,Under 5 minutes,Yes,https://rekt.news/munchables-rekt
2/28/2024,"Ethereum, Arbitrum",Seneca,6500000,Oracle Manipulation,An attacker manipulated the valuation of collateral tokens via flash loans to borrow excess assets.,Lending and Borrowing,Flash-Loan Assisted,Multiple,Under 20 minutes,No,https://rekt.news/seneca-protocol-rekt
3/25/2024,Ethereum,Curio,16000000,Access Control,A compromised admin key was used to mint unbacked tokens and drain liquidity pools.,Infrastructure,Single Transaction,Single,Under 10 minutes,No,https://rekt.news/curio-rekt
